edge_type_id source_node_id target_node_id edge_group_index afferent_section_id afferent_section_pos afferent_swc_id afferent_swc_pos syn_weight target_query source_query delay model_template dynamics_params
314 1 0 0 15 0.16666666666666666 23 0.6666666666666667 0.0001997792088115596 node_type_id=='314642645'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6 exp2syn AMPA_ExcToExc.json
314 1 0 1 13 0.5 25 0.0 0.0001997792088115596 node_type_id=='314642645'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6 exp2syn AMPA_ExcToExc.json
314 1 0 2 25 0.30000000000000004 56 0.29999999999999716 0.0001997792088115596 node_type_id=='314642645'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6 exp2syn AMPA_ExcToExc.json
314 1 0 3 16 0.7 27 0.40000000000000036 0.0001997792088115596 node_type_id=='314642645'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6 exp2syn AMPA_ExcToExc.json
1407 0 1 4 58 0.8333333333333333 93 0.5000000000000009 0.0003710678820899113 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
1407 0 1 5 19 0.5 50 0.5 0.0003710678820899113 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
1407 0 1 6 66 0.5 109 0.5 0.0003710678820899113 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
1407 0 1 7 23 0.1 42 0.8999999999999999 0.0003710678820899113 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
1407 0 1 8 47 0.5 73 0.5 0.0003710678820899113 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
1407 0 1 9 52 0.16666666666666666 65 0.8333333333333339 0.0003710678820899113 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
1407 0 1 10 49 0.5 73 0.5 0.0003710678820899113 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
