edge_type_id target_query source_query delay model_template dynamics_params
1407 node_type_id=='487661754'&pop_name=='e23Cux2' pop_name=='e4Rorb' 2.3 exp2syn AMPA_ExcToExc.json
314 node_type_id=='314642645'&pop_name=='e4Rorb' pop_name=='e23Cux2' 1.6 exp2syn AMPA_ExcToExc.json
